Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
157,Arthur Atta,fr FRA,MF,Udinese,it Serie A,23.0,2003,17.8,,9,,,,,,,,,,13,,,,Matches
158,Noah Atubolu,de GER,GK,Freiburg,de Bundesliga,23.0,2002,22.0,,0,,,,,,,,,,1,,,,Matches
159,Pierre-Emerick Aubameyang,ga GAB,FW,Marseille,fr Ligue 1,36.0,1989,13.1,,5,,,,,,,,,,6,,,,Matches
160,Emil Audero,id IDN,GK,Cremonese,it Serie A,29.0,1997,21.0,,0,,,,,,,,,,0,,,,Matches
161,Carlos Augusto,br BRA,"MF,DF",Inter,it Serie A,27.0,1999,11.0,,14,,,,,,,,,,7,,,,Matches
162,Yann Aurel Bisseck,de GER,DF,Inter,it Serie A,25.0,2000,13.3,,9,,,,,,,,,,12,,,,Matches
163,Leon Avdullahu,xk KVX,MF,Hoffenheim,de Bundesliga,21.0,2004,21.3,,19,,,,,,,,,,20,,,,Matches
164,Ezequiel Ávila,ar ARG,FW,Real Betis,es La Liga,32.0,1994,2.5,,0,,,,,,,,,,2,,,,Matches
165,Arthur Avom,cm CMR,MF,Lorient,fr Ligue 1,21.0,2004,15.8,,22,,,,,,,,,,20,,,,Matches
166,Chidozie Awaziem,ng NGA,DF,Nantes,fr Ligue 1,29.0,1997,17.8,,15,,,,,,,,,,18,,,,Matches
167,Taiwo Awoniyi,ng NGA,FW,Nottingham Forest,eng Premier League,28.0,1997,2.3,,1,,,,,,,,,,1,,,,Matches
168,Yasin Ayari,se SWE,MF,Brighton,eng Premier League,22.0,2003,18.9,,23,,,,,,,,,,24,,,,Matches
169,Neil El Aynaoui,ma MAR,MF,Roma,it Serie A,24.0,2001,5.7,,7,,,,,,,,,,8,,,,Matches
170,César Azpilicueta,es ESP,DF,Sevilla,es La Liga,36.0,1989,8.6,,13,,,,,,,,,,17,,,,Matches
171,Oussama El Azzouzi,ma MAR,"MF,DF",Auxerre,fr Ligue 1,24.0,2001,9.0,,15,,,,,,,,,,16,,,,Matches
172,Mio Backhaus,de GER,GK,Werder Bremen,de Bundesliga,21.0,2004,20.0,,0,,,,,,,,,,0,,,,Matches
173,Loïc Bade,fr FRA,DF,Leverkusen,de Bundesliga,25.0,2000,14.6,,15,,,,,,,,,,19,,,,Matches
174,Benoît Badiashile,fr FRA,DF,Chelsea,eng Premier League,24.0,2001,5.2,,5,,,,,,,,,,9,,,,Matches
175,Alex Baena,es ESP,MF,Atlético Madrid,es La Liga,24.0,2001,9.2,,6,,,,,,,,,,8,,,,Matches
176,Samson Baidoo,at AUT,DF,Lens,fr Ligue 1,21.0,2004,17.2,,18,,,,,,,,,,24,,,,Matches
177,Leon Bailey,jm JAM,"FW,MF",Aston Villa,eng Premier League,28.0,1997,1.5,,2,,,,,,,,,,0,,,,Matches
178,Leon Bailey,jm JAM,FW,Roma,it Serie A,28.0,1997,2.1,,0,,,,,,,,,,0,,,,Matches
179,Eric Bailly,ci CIV,DF,Oviedo,es La Liga,31.0,1994,5.6,,4,,,,,,,,,,10,,,,Matches
180,Theo Bair,ca CAN,FW,Auxerre,fr Ligue 1,26.0,1999,0.1,,0,,,,,,,,,,0,,,,Matches
181,Cédric Bakambu,cd COD,FW,Real Betis,es La Liga,34.0,1991,3.5,,2,,,,,,,,,,1,,,,Matches
182,Johan Bakayoko,be BEL,"FW,MF",RB Leipzig,de Bundesliga,22.0,2003,7.5,,3,,,,,,,,,,1,,,,Matches
183,Darryl Bakola,fr FRA,MF,Marseille,fr Ligue 1,18.0,2007,0.8,,1,,,,,,,,,,0,,,,Matches
184,Ridle Baku,de GER,DF,RB Leipzig,de Bundesliga,27.0,1998,17.3,,27,,,,,,,,,,11,,,,Matches
185,Dilane Bakwa,fr FRA,MF,Nottingham Forest,eng Premier League,23.0,2002,3.4,,1,,,,,,,,,,0,,,,Matches
186,Dilane Bakwa,fr FRA,"FW,MF",Strasbourg,fr Ligue 1,23.0,2002,1.2,,1,,,,,,,,,,1,,,,Matches
187,Tommaso Baldanzi,it ITA,MF,Genoa,it Serie A,22.0,2003,0.2,,0,,,,,,,,,,0,,,,Matches
188,Tommaso Baldanzi,it ITA,"FW,MF",Roma,it Serie A,22.0,2003,4.3,,1,,,,,,,,,,3,,,,Matches
