Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
1414,Stanislav Lobotka,sk SVK,MF,Napoli,it Serie A,31.0,1994,18.1,,12,,,,,,,,,,9,,,,Matches
1415,Manuel Locatelli,it ITA,MF,Juventus,it Serie A,28.0,1998,21.3,,42,,,,,,,,,,27,,,,Matches
1416,Bradley Locko,fr FRA,DF,Brest,fr Ligue 1,23.0,2002,11.3,,23,,,,,,,,,,8,,,,Matches
1417,Ruben Loftus-Cheek,eng ENG,"MF,FW",Milan,it Serie A,30.0,1996,11.3,,6,,,,,,,,,,4,,,,Matches
1418,Sean Longstaff,eng ENG,MF,Leeds United,eng Premier League,28.0,1997,10.4,,23,,,,,,,,,,10,,,,Matches
1419,Ademola Lookman,ng NGA,"FW,MF",Atalanta,it Serie A,28.0,1997,8.8,,3,,,,,,,,,,3,,,,Matches
1420,Ademola Lookman,ng NGA,FW,Atlético Madrid,es La Liga,28.0,1997,1.1,,0,,,,,,,,,,0,,,,Matches
1421,Anthony Lopes,pt POR,GK,Nantes,fr Ligue 1,35.0,1990,21.0,,1,,,,,,,,,,1,,,,Matches
1422,David López,es ESP,DF,Mallorca,es La Liga,23.0,2003,4.7,,2,,,,,,,,,,6,,,,Matches
1423,David López,es ESP,DF,Girona,es La Liga,36.0,1989,2.2,,1,,,,,,,,,,0,,,,Matches
1424,Diego López,es ESP,"MF,FW",Valencia,es La Liga,23.0,2002,14.3,,9,,,,,,,,,,11,,,,Matches
1425,Fer López,es ESP,MF,Wolves,eng Premier League,21.0,2004,2.6,,1,,,,,,,,,,0,,,,Matches
1426,Fer López,es ESP,"MF,FW",Celta Vigo,es La Liga,21.0,2004,2.8,,0,,,,,,,,,,0,,,,Matches
1427,Fermin López,es ESP,MF,Barcelona,es La Liga,22.0,2003,10.9,,12,,,,,,,,,,5,,,,Matches
1428,Hugo López,es ESP,MF,Villarreal,es La Liga,19.0,2007,0.6,,1,,,,,,,,,,1,,,,Matches
1429,Javi López,es ESP,DF,Oviedo,es La Liga,23.0,2002,7.4,,10,,,,,,,,,,4,,,,Matches
1430,Julien López,dz ALG,"FW,MF",Paris FC,fr Ligue 1,33.0,1992,0.5,,0,,,,,,,,,,1,,,,Matches
1431,Maxime Lopez,fr FRA,MF,Paris FC,fr Ligue 1,28.0,1997,18.7,,14,,,,,,,,,,8,,,,Matches
1432,Pau López,es ESP,GK,Real Betis,es La Liga,31.0,1994,8.0,,0,,,,,,,,,,0,,,,Matches
1433,Unai López,es ESP,MF,Rayo Vallecano,es La Liga,30.0,1995,11.5,,12,,,,,,,,,,13,,,,Matches
1434,Dachi Lordkipanidze,ge GEO,MF,Cremonese,it Serie A,20.0,2005,0.3,,0,,,,,,,,,,0,,,,Matches
1435,Lorran,br BRA,FW,Pisa,it Serie A,19.0,2006,1.2,,3,,,,,,,,,,3,,,,Matches
1436,Iker Losada,es ESP,MF,Levante,es La Liga,24.0,2001,4.6,,4,,,,,,,,,,6,,,,Matches
1437,Tom Louchet,fr FRA,"MF,FW",Nice,fr Ligue 1,22.0,2003,9.7,,11,,,,,,,,,,9,,,,Matches
1438,Marius Louer,fr FRA,MF,Angers,fr Ligue 1,18.0,2007,0.2,,0,,,,,,,,,,0,,,,Matches
1439,Sandi Lovrić,si SVN,MF,Udinese,it Serie A,27.0,1998,1.8,,4,,,,,,,,,,4,,,,Matches
1440,Sandi Lovrić,si SVN,MF,Hellas Verona,it Serie A,27.0,1998,0.9,,2,,,,,,,,,,0,,,,Matches
1441,Felipe Loyola,cl CHI,MF,Pisa,it Serie A,25.0,2000,2.3,,2,,,,,,,,,,5,,,,Matches
1442,Pol Lozano,es ESP,MF,Espanyol,es La Liga,26.0,1999,17.4,,12,,,,,,,,,,18,,,,Matches
1443,Sergio Lozano,es ESP,MF,Levante,es La Liga,26.0,1999,0.1,,1,,,,,,,,,,0,,,,Matches
1444,Lucas,br BRA,"MF,DF",Burnley,eng Premier League,24.0,2001,9.6,,18,,,,,,,,,,11,,,,Matches
1445,Lorenzo Lucca,it ITA,FW,Nottingham Forest,eng Premier League,25.0,2000,1.2,,0,,,,,,,,,,0,,,,Matches
1446,Lorenzo Lucca,it ITA,FW,Napoli,it Serie A,25.0,2000,4.5,,0,,,,,,,,,,0,,,,Matches
1447,Jhon Lucumí,co COL,DF,Bologna,it Serie A,27.0,1998,14.2,,11,,,,,,,,,,18,,,,Matches
1448,Oier Luengo,es ESP,DF,Oviedo,es La Liga,28.0,1997,2.5,,5,,,,,,,,,,2,,,,Matches
1449,Florentino Luís,pt POR,MF,Burnley,eng Premier League,26.0,1999,17.6,,40,,,,,,,,,,27,,,,Matches
1450,José Luis Gayà,es ESP,DF,Valencia,es La Liga,30.0,1995,17.2,,21,,,,,,,,,,14,,,,Matches
1451,José Luis Morales,es ESP,MF,Levante,es La Liga,38.0,1987,3.3,,3,,,,,,,,,,3,,,,Matches
1452,Douglas Luiz,br BRA,MF,Aston Villa,eng Premier League,27.0,1998,2.8,,5,,,,,,,,,,4,,,,Matches
1453,Douglas Luiz,br BRA,MF,Nottingham Forest,eng Premier League,27.0,1998,3.5,,3,,,,,,,,,,7,,,,Matches
1454,Romelu Lukaku,be BEL,FW,Napoli,it Serie A,32.0,1993,0.1,,0,,,,,,,,,,0,,,,Matches
1455,Castello Lukeba,fr FRA,DF,RB Leipzig,de Bundesliga,23.0,2002,16.1,,9,,,,,,,,,,26,,,,Matches
1456,Dodi Lukebakio,be BEL,MF,Sevilla,es La Liga,28.0,1997,2.0,,0,,,,,,,,,,1,,,,Matches
1457,Saša Lukić,rs SRB,MF,Fulham,eng Premier League,29.0,1996,13.4,,19,,,,,,,,,,9,,,,Matches
1458,Kristoffer Lund,us USA,"DF,MF",Köln,de Bundesliga,23.0,2002,14.9,,17,,,,,,,,,,22,,,,Matches
1459,Sebastiano Luperto,it ITA,DF,Cremonese,it Serie A,29.0,1996,2.0,,2,,,,,,,,,,1,,,,Matches
1460,Sebastiano Luperto,it ITA,DF,Cagliari,it Serie A,29.0,1996,19.0,,12,,,,,,,,,,19,,,,Matches
1461,Mateus Lusuardi,br BRA,DF,Pisa,it Serie A,22.0,2004,2.2,,2,,,,,,,,,,0,,,,Matches
1462,Zito Luvumbo,ao ANG,"MF,FW",Cagliari,it Serie A,23.0,2002,3.7,,1,,,,,,,,,,1,,,,Matches
1463,Zito Luvumbo,ao ANG,"FW,MF",Mallorca,es La Liga,23.0,2002,0.5,,0,,,,,,,,,,0,,,,Matches
1464,Babis Lykogiannis,gr GRE,DF,Bologna,it Serie A,32.0,1993,6.8,,10,,,,,,,,,,6,,,,Matches
1465,Senne Lynen,be BEL,MF,Werder Bremen,de Bundesliga,26.0,1999,20.6,,18,,,,,,,,,,45,,,,Matches
1466,Mathias Løvik,no NOR,MF,Parma,it Serie A,22.0,2003,5.2,,8,,,,,,,,,,7,,,,Matches
1467,Ian Maatsen,nl NED,DF,Aston Villa,eng Premier League,23.0,2002,11.7,,25,,,,,,,,,,8,,,,Matches
1468,Alexis Mac Allister,ar ARG,MF,Liverpool,eng Premier League,27.0,1998,19.2,,17,,,,,,,,,,9,,,,Matches
1469,Deiver Machado,co COL,"MF,DF",Nantes,fr Ligue 1,32.0,1993,3.4,,4,,,,,,,,,,4,,,,Matches
1470,Deiver Machado,co COL,MF,Lens,fr Ligue 1,32.0,1993,3.0,,1,,,,,,,,,,3,,,,Matches
1471,Koki Machida,jp JPN,DF,Hoffenheim,de Bundesliga,28.0,1997,0.5,,0,,,,,,,,,,1,,,,Matches
1472,Lanroy Machine,fr FRA,MF,Angers,fr Ligue 1,20.0,2005,2.5,,3,,,,,,,,,,0,,,,Matches
1473,Shuto Machino,jp JPN,"FW,MF",Gladbach,de Bundesliga,26.0,1999,8.8,,4,,,,,,,,,,1,,,,Matches
1474,Carlos Macià,es ESP,MF,Villarreal,es La Liga,17.0,2008,0.9,,0,,,,,,,,,,2,,,,Matches
1475,Brian Madjo,lu LUX,FW,Metz,fr Ligue 1,17.0,2009,1.7,,0,,,,,,,,,,0,,,,Matches
1476,Noni Madueke,eng ENG,"FW,MF",Arsenal,eng Premier League,23.0,2002,8.6,,8,,,,,,,,,,4,,,,Matches
1477,Pablo Maffeo,es ESP,DF,Mallorca,es La Liga,28.0,1997,18.0,,19,,,,,,,,,,21,,,,Matches
1478,Gabriel Magalhães,br BRA,DF,Arsenal,eng Premier League,28.0,1997,19.1,,10,,,,,,,,,,15,,,,Matches
1479,Soungoutou Magassa,fr FRA,MF,West Ham United,eng Premier League,22.0,2003,8.3,,19,,,,,,,,,,13,,,,Matches
1480,Hugo Magnetti,fr FRA,MF,Brest,fr Ligue 1,27.0,1998,19.2,,29,,,,,,,,,,31,,,,Matches
1481,Frank Magri,cm CMR,"FW,MF",Toulouse,fr Ligue 1,26.0,1999,13.9,,3,,,,,,,,,,3,,,,Matches
1482,Harry Maguire,eng ENG,DF,Manchester Utd,eng Premier League,32.0,1993,8.6,,7,,,,,,,,,,5,,,,Matches
1483,Arne Maier,de GER,MF,Augsburg,de Bundesliga,27.0,1999,0.0,,1,,,,,,,,,,1,,,,Matches
1484,Mike Maignan,fr FRA,GK,Milan,it Serie A,30.0,1995,22.6,,0,,,,,,,,,,1,,,,Matches
1485,Linton Maina,de GER,"MF,FW",Köln,de Bundesliga,26.0,1999,6.8,,2,,,,,,,,,,1,,,,Matches
1486,Patrick Mainka,de GER,DF,Heidenheim,de Bundesliga,31.0,1994,22.0,,22,,,,,,,,,,24,,,,Matches
1487,Kobbie Mainoo,eng ENG,MF,Manchester Utd,eng Premier League,20.0,2005,7.6,,8,,,,,,,,,,4,,,,Matches
1488,Ainsley Maitland-Niles,eng ENG,"DF,MF",Lyon,fr Ligue 1,28.0,1997,19.3,,27,,,,,,,,,,24,,,,Matches
1489,Radosław Majecki,pl POL,GK,Brest,fr Ligue 1,26.0,1999,9.6,,0,,,,,,,,,,0,,,,Matches
1490,Lovro Majer,hr CRO,MF,Wolfsburg,de Bundesliga,28.0,1998,12.5,,15,,,,,,,,,,7,,,,Matches
1491,Hamidou Makalou,ml MLI,MF,Brest,fr Ligue 1,19.0,2006,1.8,,1,,,,,,,,,,3,,,,Matches
1492,Jean-Victor Makengo,fr FRA,MF,Lorient,fr Ligue 1,27.0,1998,11.3,,10,,,,,,,,,,7,,,,Matches
1493,Jordy Makengo,fr FRA,DF,Freiburg,de Bundesliga,24.0,2001,9.2,,8,,,,,,,,,,6,,,,Matches
1494,Andrija Maksimović,rs SRB,FW,RB Leipzig,de Bundesliga,18.0,2007,1.0,,0,,,,,,,,,,0,,,,Matches
1495,Said El Mala,de GER,"FW,MF",Köln,de Bundesliga,19.0,2006,11.6,,8,,,,,,,,,,3,,,,Matches
1496,Tyrell Malacia,nl NED,DF,Manchester Utd,eng Premier League,26.0,1999,0.0,,0,,,,,,,,,,0,,,,Matches
1497,Julián Malatini,ar ARG,DF,Werder Bremen,de Bundesliga,24.0,2001,4.6,,5,,,,,,,,,,5,,,,Matches
1498,Daniel Maldini,it ITA,FW,Lazio,it Serie A,24.0,2001,2.8,,6,,,,,,,,,,2,,,,Matches
1499,Daniel Maldini,it ITA,MF,Atalanta,it Serie A,24.0,2001,2.9,,2,,,,,,,,,,0,,,,Matches
1500,Youssef Maleh,ma MAR,MF,Cremonese,it Serie A,27.0,1998,3.0,,1,,,,,,,,,,3,,,,Matches
1501,Youssef Maleh,ma MAR,MF,Lecce,it Serie A,27.0,1998,5.1,,4,,,,,,,,,,7,,,,Matches
1502,Donyell Malen,nl NED,"FW,MF",Aston Villa,eng Premier League,27.0,1999,7.3,,2,,,,,,,,,,0,,,,Matches
1503,Donyell Malen,nl NED,FW,Roma,it Serie A,27.0,1999,4.3,,1,,,,,,,,,,0,,,,Matches
1504,Ruslan Malinovskyi,ua UKR,MF,Genoa,it Serie A,32.0,1993,18.3,,16,,,,,,,,,,11,,,,Matches
1505,Lennard Maloney,us USA,"DF,MF",Mainz 05,de Bundesliga,26.0,1999,4.9,,8,,,,,,,,,,6,,,,Matches
1506,Pape Mamadou Sy,sn SEN,GK,Metz,fr Ligue 1,28.0,1997,0.8,,0,,,,,,,,,,0,,,,Matches
1507,Giorgi Mamardashvili,ge GEO,GK,Liverpool,eng Premier League,25.0,2000,5.0,,0,,,,,,,,,,0,,,,Matches
1508,Felix Mambimbi,ch SUI,"FW,MF",Le Havre,fr Ligue 1,25.0,2001,5.4,,10,,,,,,,,,,4,,,,Matches
1509,Aitor Mañas,es ESP,FW,Alavés,es La Liga,23.0,2003,0.8,,1,,,,,,,,,,0,,,,Matches
1510,Gianluca Mancini,it ITA,DF,Roma,it Serie A,29.0,1996,23.7,,20,,,,,,,,,,36,,,,Matches
1511,Reinildo Mandava,mz MOZ,DF,Sunderland,eng Premier League,32.0,1994,15.9,,15,,,,,,,,,,22,,,,Matches
1512,Aïssa Mandi,dz ALG,DF,Lille,fr Ligue 1,34.0,1991,15.9,,16,,,,,,,,,,25,,,,Matches
1513,Rolando Mandragora,it ITA,MF,Fiorentina,it Serie A,28.0,1997,19.8,,18,,,,,,,,,,11,,,,Matches
1514,Filippo Mane,it ITA,DF,Dortmund,de Bundesliga,20.0,2005,1.5,,0,,,,,,,,,,2,,,,Matches
1515,Mateus Mane,pt POR,"MF,FW",Wolves,eng Premier League,18.0,2007,10.0,,8,,,,,,,,,,1,,,,Matches
1516,Orel Mangala,be BEL,MF,Lyon,fr Ligue 1,27.0,1998,0.4,,2,,,,,,,,,,0,,,,Matches
1517,Bendito Mantato,eng ENG,MF,Manchester Utd,eng Premier League,18.0,2008,0.2,,0,,,,,,,,,,0,,,,Matches
1518,Brad Mantsounga,cg CGO,DF,Nice,fr Ligue 1,18.0,2007,1.0,,3,,,,,,,,,,0,,,,Matches
1519,Johan Manzambi,ch SUI,MF,Freiburg,de Bundesliga,20.0,2005,15.3,,8,,,,,,,,,,20,,,,Matches
1520,Sekou Mara,fr FRA,FW,Auxerre,fr Ligue 1,23.0,2002,9.1,,4,,,,,,,,,,2,,,,Matches
1521,Alessandro Marcandalli,it ITA,DF,Genoa,it Serie A,23.0,2002,16.0,,9,,,,,,,,,,10,,,,Matches
1522,Marcão,br BRA,DF,Sevilla,es La Liga,29.0,1996,10.4,,4,,,,,,,,,,4,,,,Matches
1523,Vincent Marchetti,fr FRA,MF,Paris FC,fr Ligue 1,28.0,1997,8.2,,10,,,,,,,,,,4,,,,Matches
1524,Pablo Marí,es ESP,DF,Fiorentina,it Serie A,32.0,1993,9.0,,8,,,,,,,,,,19,,,,Matches
1525,José María Giménez,uy URU,DF,Atlético Madrid,es La Liga,31.0,1995,9.0,,6,,,,,,,,,,11,,,,Matches
1526,Mariano,do DOM,FW,Alavés,es La Liga,32.0,1993,3.1,,1,,,,,,,,,,0,,,,Matches
1527,Luca Marianucci,it ITA,DF,Torino,it Serie A,21.0,2004,2.9,,4,,,,,,,,,,6,,,,Matches
1528,Luca Marianucci,it ITA,DF,Napoli,it Serie A,21.0,2004,1.3,,2,,,,,,,,,,1,,,,Matches
1529,Arkaitz Mariezkurrena,es ESP,FW,Real Sociedad,es La Liga,20.0,2005,0.0,,0,,,,,,,,,,0,,,,Matches
1530,Rafa Marín,es ESP,DF,Villarreal,es La Liga,23.0,2002,14.6,,16,,,,,,,,,,15,,,,Matches
1531,Marius Marin,ro ROU,MF,Pisa,it Serie A,27.0,1998,11.4,,20,,,,,,,,,,8,,,,Matches
1532,Pablo Marín,es ESP,MF,Real Sociedad,es La Liga,22.0,2003,10.7,,11,,,,,,,,,,6,,,,Matches
1533,João Mário Lopes,pt POR,DF,Bologna,it Serie A,26.0,2000,1.3,,0,,,,,,,,,,1,,,,Matches
1534,João Mário Lopes,pt POR,MF,Juventus,it Serie A,26.0,2000,2.9,,3,,,,,,,,,,3,,,,Matches
1535,Guillermo Maripán,cl CHI,DF,Torino,it Serie A,31.0,1994,22.0,,27,,,,,,,,,,25,,,,Matches
1536,Omar Marmoush,eg EGY,"FW,MF",Manchester City,eng Premier League,27.0,1999,4.3,,5,,,,,,,,,,2,,,,Matches
1537,Tomas Marques,es ESP,MF,Barcelona,es La Liga,19.0,2006,0.1,,0,,,,,,,,,,0,,,,Matches
1538,Marquinhos,br BRA,DF,Paris Saint-Germain,fr Ligue 1,31.0,1994,8.7,,9,,,,,,,,,,6,,,,Matches
1539,Callum Marshall,nir NIR,FW,West Ham United,eng Premier League,21.0,2004,0.7,,0,,,,,,,,,,2,,,,Matches
1540,Eric Martel,de GER,"MF,DF",Köln,de Bundesliga,23.0,2002,19.1,,14,,,,,,,,,,23,,,,Matches
1541,Aarón Martín,es ESP,"MF,DF",Genoa,it Serie A,28.0,1997,18.8,,22,,,,,,,,,,9,,,,Matches
1542,Carlos Martín,es ESP,"MF,FW",Rayo Vallecano,es La Liga,23.0,2002,2.2,,2,,,,,,,,,,0,,,,Matches
1543,Gerard Martín,es ESP,DF,Barcelona,es La Liga,24.0,2002,11.4,,18,,,,,,,,,,14,,,,Matches
1544,Iván Martín,es ESP,MF,Girona,es La Liga,27.0,1999,19.0,,32,,,,,,,,,,12,,,,Matches
1545,Jon Martin,es ESP,DF,Real Sociedad,es La Liga,19.0,2006,15.0,,9,,,,,,,,,,22,,,,Matches
1546,Mario Martín,es ESP,"MF,FW",Getafe,es La Liga,21.0,2004,16.1,,26,,,,,,,,,,6,,,,Matches
1547,Gabriel Martinelli,br BRA,FW,Arsenal,eng Premier League,24.0,2001,7.0,,5,,,,,,,,,,0,,,,Matches
1548,Arnau Martinez,es ESP,"DF,MF",Girona,es La Liga,22.0,2003,16.0,,23,,,,,,,,,,26,,,,Matches
1549,Emiliano Martínez,ar ARG,GK,Aston Villa,eng Premier League,33.0,1992,21.5,,0,,,,,,,,,,0,,,,Matches
1550,Joaquín Martínez Gauna,es ESP,"MF,DF",Sevilla,es La Liga,22.0,2003,6.2,,6,,,,,,,,,,2,,,,Matches
1551,Josep Martinez,es ESP,GK,Inter,it Serie A,27.0,1998,2.0,,0,,,,,,,,,,0,,,,Matches
1552,Lautaro Martínez,ar ARG,FW,Inter,it Serie A,28.0,1997,21.0,,10,,,,,,,,,,4,,,,Matches
1553,Lisandro Martínez,ar ARG,DF,Manchester Utd,eng Premier League,28.0,1998,10.1,,7,,,,,,,,,,10,,,,Matches
1554,Pablo Martínez,es ESP,MF,Levante,es La Liga,27.0,1998,13.0,,7,,,,,,,,,,16,,,,Matches
1555,Ramón Martínez,es ESP,DF,Sevilla,es La Liga,23.0,2002,1.1,,0,,,,,,,,,,1,,,,Matches
1556,Toni Martínez,es ESP,FW,Alavés,es La Liga,28.0,1997,17.0,,8,,,,,,,,,,4,,,,Matches
1557,Adam Marušić,me MNE,DF,Lazio,it Serie A,33.0,1992,21.5,,13,,,,,,,,,,18,,,,Matches
1558,Omar Mascarell,gq EQG,MF,Mallorca,es La Liga,33.0,1993,12.9,,16,,,,,,,,,,21,,,,Matches
1559,Adam Masina,ma MAR,DF,Torino,it Serie A,32.0,1994,2.6,,4,,,,,,,,,,5,,,,Matches
1560,Patrizio Masini,it ITA,MF,Genoa,it Serie A,25.0,2001,12.0,,33,,,,,,,,,,21,,,,Matches
1561,Han-Noah Massengo,fr FRA,MF,Augsburg,de Bundesliga,24.0,2001,19.9,,15,,,,,,,,,,25,,,,Matches
1562,Franco Mastantuono,ar ARG,"MF,FW",Real Madrid,es La Liga,18.0,2007,8.3,,12,,,,,,,,,,2,,,,Matches
1563,Arthur Masuaku,cd COD,DF,Sunderland,eng Premier League,32.0,1993,1.4,,2,,,,,,,,,,2,,,,Matches
1564,Arthur Masuaku,cd COD,"DF,MF",Lens,fr Ligue 1,32.0,1993,0.0,,1,,,,,,,,,,0,,,,Matches
1565,Clinton Mata,ao ANG,DF,Lyon,fr Ligue 1,33.0,1992,20.5,,15,,,,,,,,,,13,,,,Matches
1566,Igor Matanovic,hr CRO,FW,Freiburg,de Bundesliga,22.0,2003,7.6,,2,,,,,,,,,,6,,,,Matches
1567,Pape Matar Sarr,sn SEN,MF,Tottenham Hotspur,eng Premier League,23.0,2002,10.4,,14,,,,,,,,,,6,,,,Matches
1568,Jean-Philippe Mateta,fr FRA,FW,Crystal Palace,eng Premier League,28.0,1997,21.2,,3,,,,,,,,,,5,,,,Matches
1569,Nemanja Matić,rs SRB,MF,Sassuolo,it Serie A,37.0,1988,22.3,,23,,,,,,,,,,17,,,,Matches
1570,Rudy Matondo,fr FRA,MF,Paris FC,fr Ligue 1,17.0,2008,1.0,,2,,,,,,,,,,0,,,,Matches
1571,Rudy Matondo,fr FRA,MF,Auxerre,fr Ligue 1,17.0,2008,6.8,,7,,,,,,,,,,7,,,,Matches
1572,Chrislain Matsima,fr FRA,DF,Augsburg,de Bundesliga,23.0,2002,14.0,,9,,,,,,,,,,29,,,,Matches
1573,Jean Mattéo Bahoya,fr FRA,"MF,FW",Eintracht Frankfurt,de Bundesliga,20.0,2005,9.3,,6,,,,,,,,,,7,,,,Matches
1574,Alan Matturro,uy URU,DF,Levante,es La Liga,21.0,2004,5.4,,9,,,,,,,,,,5,,,,Matches
1575,Neal Maupay,fr FRA,FW,Sevilla,es La Liga,29.0,1996,2.6,,0,,,,,,,,,,0,,,,Matches
1576,Neal Maupay,fr FRA,"FW,MF",Marseille,fr Ligue 1,29.0,1996,0.0,,0,,,,,,,,,,0,,,,Matches
1577,Konstantinos Mavropanos,gr GRE,DF,West Ham United,eng Premier League,28.0,1997,17.1,,14,,,,,,,,,,25,,,,Matches
1578,Christian Mawissa,fr FRA,DF,Monaco,fr Ligue 1,20.0,2005,6.1,,8,,,,,,,,,,10,,,,Matches
1579,Eliezer Mayenda,es ESP,"FW,MF",Sunderland,eng Premier League,20.0,2005,6.4,,2,,,,,,,,,,1,,,,Matches
1580,Ezra Mayers,bb BRB,DF,West Ham United,eng Premier League,19.0,2007,1.3,,0,,,,,,,,,,1,,,,Matches
1581,Borja Mayoral,es ESP,FW,Getafe,es La Liga,28.0,1997,11.6,,5,,,,,,,,,,4,,,,Matches
1582,Senny Mayulu,fr FRA,"MF,FW",Paris Saint-Germain,fr Ligue 1,19.0,2006,12.6,,19,,,,,,,,,,6,,,,Matches
1583,Ibrahim Maza,dz ALG,MF,Leverkusen,de Bundesliga,20.0,2005,9.4,,10,,,,,,,,,,13,,,,Matches
1584,Noussair Mazraoui,ma MAR,"MF,DF",Manchester Utd,eng Premier League,28.0,1997,5.0,,7,,,,,,,,,,5,,,,Matches
1585,Luca Mazzitelli,it ITA,MF,Cagliari,it Serie A,30.0,1995,7.1,,9,,,,,,,,,,9,,,,Matches
1586,Pasquale Mazzocchi,it ITA,MF,Napoli,it Serie A,30.0,1995,1.5,,0,,,,,,,,,,2,,,,Matches
1587,Nathan Mbala,,FW,Metz,fr Ligue 1,17.0,2008,0.2,,0,,,,,,,,,,0,,,,Matches
1588,Samuel Mbangula,be BEL,"MF,FW",Werder Bremen,de Bundesliga,22.0,2004,10.0,,10,,,,,,,,,,3,,,,Matches
1589,Ethan Mbappé,fr FRA,"MF,FW",Lille,fr Ligue 1,19.0,2006,4.3,,5,,,,,,,,,,0,,,,Matches
1590,Kylian Mbappé,fr FRA,FW,Real Madrid,es La Liga,27.0,1998,21.4,,1,,,,,,,,,,3,,,,Matches
1591,Ibrahim Mbaye,sn SEN,"FW,MF",Paris Saint-Germain,fr Ligue 1,18.0,2008,8.5,,6,,,,,,,,,,4,,,,Matches
1592,Malick Mbaye,sn SEN,MF,Metz,fr Ligue 1,21.0,2004,3.3,,8,,,,,,,,,,3,,,,Matches
1593,Chancel Mbemba,cd COD,DF,Lille,fr Ligue 1,31.0,1994,8.6,,8,,,,,,,,,,9,,,,Matches
1594,Bryan Mbeumo,cm CMR,"MF,FW",Manchester Utd,eng Premier League,26.0,1999,20.1,,6,,,,,,,,,,4,,,,Matches
1595,Michel Mboula,ga GAB,"DF,MF",Metz,fr Ligue 1,22.0,2003,5.3,,5,,,,,,,,,,10,,,,Matches
1596,Pathé Mboup,sn SEN,MF,Brest,fr Ligue 1,22.0,2003,9.6,,14,,,,,,,,,,11,,,,Matches
1597,Moustapha Mbow,sn SEN,DF,Paris FC,fr Ligue 1,25.0,2000,20.2,,22,,,,,,,,,,25,,,,Matches
1598,James Mcatee,eng ENG,MF,Nottingham Forest,eng Premier League,23.0,2002,1.9,,3,,,,,,,,,,0,,,,Matches
1599,John McGinn,sct SCO,MF,Aston Villa,eng Premier League,31.0,1994,17.7,,16,,,,,,,,,,11,,,,Matches
1600,Weston McKennie,us USA,MF,Juventus,it Serie A,27.0,1998,19.6,,14,,,,,,,,,,17,,,,Matches
1601,Mark McKenzie,us USA,DF,Toulouse,fr Ligue 1,26.0,1999,18.2,,21,,,,,,,,,,14,,,,Matches
1602,Dwight McNeil,eng ENG,"MF,FW",Everton,eng Premier League,26.0,1999,6.9,,8,,,,,,,,,,3,,,,Matches
1603,Scott McTominay,sct SCO,MF,Napoli,it Serie A,29.0,1996,21.5,,10,,,,,,,,,,19,,,,Matches
1604,Facundo Medina,ar ARG,DF,Marseille,fr Ligue 1,26.0,1999,6.2,,8,,,,,,,,,,7,,,,Matches
1605,Jonas Meffert,de GER,MF,Hamburger SV,de Bundesliga,31.0,1994,1.6,,3,,,,,,,,,,1,,,,Matches
1606,Henrik Meister,dk DEN,FW,Pisa,it Serie A,22.0,2003,13.7,,1,,,,,,,,,,0,,,,Matches
1607,Bamo Meïté,ci CIV,DF,Lorient,fr Ligue 1,24.0,2001,14.3,,10,,,,,,,,,,9,,,,Matches
1608,Kader Meïté,fr FRA,FW,Rennes,fr Ligue 1,18.0,2007,5.9,,2,,,,,,,,,,1,,,,Matches
1609,Hannibal Mejbri,tn TUN,MF,Burnley,eng Premier League,23.0,2003,7.1,,7,,,,,,,,,,3,,,,Matches
1610,Cléo Melieres,fr FRA,FW,Metz,fr Ligue 1,20.0,2005,0.3,,0,,,,,,,,,,0,,,,Matches
1611,Nuno Mendes,pt POR,DF,Paris Saint-Germain,fr Ligue 1,23.0,2002,11.3,,16,,,,,,,,,,12,,,,Matches
1612,Brais Méndez,es ESP,"MF,FW",Real Sociedad,es La Liga,29.0,1997,13.7,,12,,,,,,,,,,6,,,,Matches
1613,Rodrigo Mendoza,es ESP,"MF,FW",Elche,es La Liga,20.0,2005,8.8,,9,,,,,,,,,,5,,,,Matches
1614,Rodrigo Mendoza,es ESP,MF,Atlético Madrid,es La Liga,20.0,2005,1.2,,0,,,,,,,,,,0,,,,Matches
1615,Antoine Mendy,sn SEN,DF,Nice,fr Ligue 1,21.0,2004,13.7,,22,,,,,,,,,,7,,,,Matches
1616,Batista Mendy,fr FRA,MF,Sevilla,es La Liga,26.0,2000,15.8,,19,,,,,,,,,,15,,,,Matches
1617,Ferland Mendy,fr FRA,DF,Real Madrid,es La Liga,30.0,1995,0.0,,0,,,,,,,,,,0,,,,Matches
1618,Formose Mendy,sn SEN,DF,Lorient,fr Ligue 1,25.0,2001,1.5,,1,,,,,,,,,,3,,,,Matches
1619,Nobel Mendy,fr FRA,DF,Rayo Vallecano,es La Liga,21.0,2004,12.5,,7,,,,,,,,,,15,,,,Matches
1620,Gideon Mensah,gh GHA,"DF,MF",Auxerre,fr Ligue 1,27.0,1998,15.6,,21,,,,,,,,,,17,,,,Matches
1621,Khalis Merah,fr FRA,"MF,FW",Lyon,fr Ligue 1,18.0,2007,7.8,,2,,,,,,,,,,3,,,,Matches
1622,Alex Meret,it ITA,GK,Napoli,it Serie A,28.0,1997,7.0,,0,,,,,,,,,,0,,,,Matches
