0_level_0_Rk,1_level_0_Player,2_level_0_Nation,3_level_0_Pos,4_level_0_Squad,5_level_0_Comp,6_level_0_Age,7_level_0_Born,8_level_0_90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_PK,Standard_PKatt,19_level_0_Matches
311,Jeremie Boga,ci CIV,"FW,MF",Juventus,it Serie A,29,1997.0,0.5,0,2,0,0.0,3.75,0.0,0.0,,0,0,Matches
312,Jeremie Boga,ci CIV,"MF,FW",Nice,fr Ligue 1,29,1997.0,7.2,2,15,5,33.3,2.09,0.7,0.13,0.4,0,0,Matches
313,Lamare Bogarde,nl NED,"MF,DF",Aston Villa,eng Premier League,22,2004.0,7.5,0,0,0,,0.0,0.0,,,0,0,Matches
314,Jayden Bogle,eng ENG,"DF,MF",Leeds United,eng Premier League,25,2000.0,23.4,1,12,3,25.0,0.51,0.13,0.08,0.33,0,0,Matches
315,Adama Boiro,es ESP,DF,Athletic Club,es La Liga,23,2002.0,5.6,0,1,0,0.0,0.18,0.0,0.0,,0,0,Matches
316,Morgan Bokelé Mputu,cm CMR,MF,Metz,fr Ligue 1,21,2004.0,2.5,0,3,1,33.3,1.19,0.4,0.0,0.0,0,0,Matches
317,Hugo Bolin,se SWE,MF,Gladbach,de Bundesliga,22,2003.0,1.1,0,2,0,0.0,1.82,0.0,0.0,,0,0,Matches
318,Daniel Boloca,ro ROU,MF,Sassuolo,it Serie A,27,1998.0,1.5,0,2,0,0.0,1.33,0.0,0.0,,0,0,Matches
319,Moïse Bombito,ca CAN,DF,Nice,fr Ligue 1,25,2000.0,1.6,0,0,0,,0.0,0.0,,,0,0,Matches
320,Federico Bonazzoli,it ITA,FW,Cremonese,it Serie A,28,1997.0,16.6,5,43,15,34.9,2.6,0.91,0.09,0.27,1,1,Matches
321,Warren Bondo,fr FRA,MF,Cremonese,it Serie A,22,2003.0,15.9,0,5,0,0.0,0.31,0.0,0.0,,0,0,Matches
322,Giovanni Bonfanti,it ITA,"DF,MF",Pisa,it Serie A,23,2003.0,5.5,0,6,1,16.7,1.09,0.18,0.0,0.0,0,0,Matches
323,Victor Boniface,ng NGA,FW,Werder Bremen,de Bundesliga,25,2000.0,3.7,0,16,6,37.5,4.32,1.62,0.0,0.0,0,0,Matches
324,Rahim Bonkano,ne NIG,DF,Oviedo,es La Liga,24,2002.0,15.7,0,2,0,0.0,0.13,0.0,0.0,,0,0,Matches
